Plant_ID,Family,Treatment,Bradyrhizobia,Pseudomonas,Variovorax,Block,Position,Germination,Mortality1,Leaf_no_1,Leaf_no_2,Mortality2,Leaf_no_3,Leaf_no_4,Leaf_no_5,Leaf_no_6,Death_day,Nodule_no,Pink_nodule,Yellow_nodule,Dark_nodule,Long_nodule,Round_nodule,Flower_date,Flower_count,Aboveground_mg,Belowground_mg,Dead
ZP037,S6,VCC,N,N,Y,B,8,1,1,1,2,1,3,3,3,1,NA,0,0,0,0,0,0,NA,0,16.3,34.4,0
ZP038,S7,VCC,N,N,Y,B,14,1,1,0,2,1,3,3,4,3,NA,0,0,0,0,0,0,NA,0,9.93,9.98,0
ZP039,S10,VCC,N,N,Y,B,19,1,1,1,2,1,4,1,3,1,NA,0,0,0,0,0,0,NA,0,10.11,14.32,0
ZP040,S3,PCC,N,Y,N,B,3,0,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.2,0.6,0
ZP041,S11,PCC,N,Y,N,B,10,1,1,1,2,1,4,2,4,3,NA,0,0,0,0,0,0,NA,0,13.6,19,0
ZP042,S1,PCC,N,Y,N,B,7,1,1,0,1,1,4,4,5,NA,23,0,0,0,0,0,0,NA,0,5.9,13.4,1
ZP043,S11,PCC,N,Y,N,B,9,1,1,1,2,1,4,2,3,3,NA,0,0,0,0,0,0,NA,0,13.7,18.3,0
ZP044,S10,BVC,Y,N,Y,B,20,1,1,1,2,1,4,2,4,2,NA,16,0,0,16,0,16,NA,0,11.18,21.11,0
ZP045,S5,BVC,Y,N,Y,B,5,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6.8,1.7,0
ZP046,S3,BVC,Y,N,Y,B,2,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.4,2.9,0
ZP047,S1,BPC,Y,Y,N,B,24,1,1,0,2,1,4,4,4,4,NA,8,0,0,8,0,8,NA,0,16.59,14.65,0
ZP048,S4,BPC,Y,Y,N,B,12,1,1,1,2,0,3,2,3,4,NA,14,0,0,14,0,14,NA,0,11.23,10.9,0
ZP049,S5,BPC,Y,Y,N,B,4,1,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,10.1,6.1,0
ZP050,S2,BPV,Y,Y,Y,B,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.8,7.9,0
ZP051,S7,BPV,Y,Y,Y,B,17,1,1,1,2,1,4,3,4,4,NA,8,0,0,8,0,8,NA,0,11.81,12.68,0
ZP052,S9,BPV,Y,Y,Y,B,23,1,1,0,1,1,3,4,4,NA,14,0,0,0,0,0,0,NA,0,5.55,12.89,1
ZP053,S8,BPV,Y,Y,Y,B,11,1,1,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,7.3,0.8,0
ZP054,S6,PVC,N,Y,Y,B,27,1,1,1,2,1,4,3,4,1,NA,0,0,0,0,0,0,NA,0,13.75,13.82,0
ZP055,S2,PVC,N,Y,Y,B,16,1,1,1,2,1,4,3,4,5,NA,0,0,0,0,0,0,NA,0,8.72,13.09,0
ZP056,S11,PVC,N,Y,Y,B,18,1,1,1,2,1,3,1,2,4,NA,0,0,0,0,0,0,NA,0,8.67,15.82,0
ZP057,S7,CCC,N,N,N,C,22,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,2.49,1.35,0
ZP058,S9,CCC,N,N,N,C,14,1,1,0,1,1,2,2,3,2,NA,0,0,0,0,0,0,NA,0,6.2,9.28,0
ZP059,S7,CCC,N,N,N,C,2,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,1.9,NA,0
ZP060,S8,CCC,N,N,N,C,27,1,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,5.39,0.57,0
ZP061,S2,BCC,Y,N,N,C,23,1,1,1,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6.41,1.2,0
ZP062,S6,BCC,Y,N,N,C,7,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
ZP063,S6,BCC,Y,N,N,C,18,1,1,1,2,1,4,4,5,2,NA,0,0,0,0,0,0,NA,0,10.26,11.98,0
ZP064,S5,VCC,N,N,Y,C,13,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.87,NA,0
ZP065,S2,VCC,N,N,Y,C,11,1,1,1,2,1,4,4,4,2,NA,0,0,0,0,0,0,NA,0,11.8,16.2,0
ZP066,S8,VCC,N,N,Y,C,16,1,1,1,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,7.34,1.52,0
ZP067,S11,VCC,N,N,Y,C,3,1,1,0,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.2,0.5,0
ZP068,S1,PCC,N,Y,N,C,26,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.06,9.21,0
ZP069,S3,PCC,N,Y,N,C,4,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.4,2.9,0
ZP070,S2,PCC,N,Y,N,C,28,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
ZP071,S1,BVC,Y,N,Y,C,8,1,1,1,2,1,4,3,3,2,NA,10,0,0,10,0,10,NA,0,14.93,15.66,0
ZP072,S6,BVC,Y,N,Y,C,5,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
ZP073,S11,BVC,Y,N,Y,C,9,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,5.51,7.23,0
